name,Image_URL,information,location,visiting_date,tickets,type
"
        Muhammad Ali Pasha Palace
    ",https://egymonuments.gov.eg/media/7784/ea_ca_1780.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132870671740000000,"The Palace of Muhammad Ali Pasha (1220-1264 AH \ AD 1805-1848), is a rare masterpiece that combines elements of European aesthetics with Islamic architecture. Its construction began in 1223 AH / AD 1808, when Muhammad Ali decided to build Shubra Suburb, which was the northern promenade of Cairo. The palace was far from the Salah al-Din al-Ayyubi Citadel, which at the time was the seat of government. the Muhammad Ali Palace has become known as Paradise Palace or Shubra Palace. The architectural plan of the palace was centred within a massive garden that included clusters of buildings surrounded by a wall. Initially, the palace consisted of the Saraya al-Ekama (Residential Palace), Saraya al-Fasqiya (Fountain Palace) and the Gabalaya Kiosk. It also included a bird tower, boat harbour, water wheel that provided the palace and its garden with water, and stables known as the Shubra Stables. The style employed in the palaces took on the character of Italian and French aesthetics.This was also the first building in Egypt to incorporate a modern lighting system. ","

 
 
 
 Cairo
 
 
",24 hours daily,"
 
 FOREIGNER: 
Adult: EGP 100 / Student: EGP 50

EGYPTIANS\ ARABS: 
Adult: EGP 30 /Student: EGP 10
 
",monuments
"
        Suez Canal Authority Building ""Dome Building""
    ",https://egymonuments.gov.eg/media/7719/whatsapp-image-2021-12-21-at-15602-pm-1.jpeg?anchor=center&mode=crop&width=645&height=423&rnd=132869877640000000,"One of the most prominent monuments and tourist sights which receive visitors and fans in Port Said, it can be described as the main historical building for the offices and management of the Suez Canal Company in Port Said, where it was and still used to follow the movement of ships passing through the canal, the building also is characterized by the splendor architecture and its unique location on the shore of the canal.  The foundation stone of the building was laid in 1895 and opened in 1906 in the era of Khedive Abbas Helmi II and was purchased    by England in World War I to be the headquarters of the British Army command in the Middle East.   Also there was a VIP lounge attached to the building where the King George V reside in 1911 AD. And it is stood by ""Estokwell"" the commander of the British Forces during the Suez Crisis (Tripartite Aggression) in 1956 as a residence. And also, as a lounge for the British soldiers during the Second World War.  The building is designed from inside to contain as many offices as possible , the building contains about 300 rooms distributed on  the stories of the building , the ground floor contains about 60 doors lead to bunch of internal rooms.  The dome building occupied a rectangular area that can be divided into two parts. The first is the main facade of the building and is retracted inward at the two wings bearing the central dome, while the two wings carry a smaller dome.","

 
 
 
 Port Said city
 
 
",24 hours daily,free,monuments
"
        Madrasa, Mausaleum, and Bimaristan of al-Mansur Qalawun
    ",https://egymonuments.gov.eg/media/7626/226946_213846661970714_100000361448026_733501_4625677_n.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936311490000000,"This complex is located on al-Mu’izz street. It was established by Sultan Sayf al-Din Qalawun in 683-684 AH/ 1283-1284 AD. It is one of the most beautiful architectural complexes in Egypt dating to the Mamluk period. It consists of a mosque, a school, a burial, and a hospital (bimaristan is a Persian word that means “house of the ill”). Its various entrances are all characterized by unique designs, using gold and silver gilding as well as a number of geometric and floral motifs. The hospital treated people who suffered from nervous and psychological disorders. It now serves as an eye and dentistry hospital.    ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Mosque, Khanqa, and Madrasa of Sultan Farag ibn Barquq in the Mamluk Cemetery
    ",https://egymonuments.gov.eg/media/7623/tomb-_with_mosque-_of_farag_ibn_barquq_-1878-_-_timea.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936323670000000,"It is in the east of the Mamluk cemetery in Cairo, established by Sultan al-Nasar Farag ibn Barquq sometime between 801-813 AH/ 1398-1411 AD. This complex is one of the largest architectural units in Egypt. It consists of a mosque, a khanqa for Sufis, and a school. It is also the burial place of Sultan Barquq and his family. There are two sabils on the main façade. The most important features of this complex are the two minarets and domes. In 1940, the Committee for the Preservation of Arab Antiquities exerted great efforts in restoring this complex.    ","

 
 
 
 Mamluk Cemetery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Madrasa of Sultan al-Ghuri
    ",https://egymonuments.gov.eg/media/7622/interior-view-of-mosque-madrasa-showing-qibla-wall-of-prayer-hall-east-iwan-with-mihrab-and-minbar.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936320930000000,"Al-Ghuri’s madrasa is located on al-Mu’izz street, at the juncture between al-Ghuriyya and al-Azhar. It was established by sultan Qunsuah al-Ghuri in 909 AH/ 1503 AD. It is a unique example of Circassian Mamluk architecture during its final days in Egypt. It was used for both prayer as a mosque and a school. The madrasa is consisting of courtyard and four iwans, Sultan al-Ghuri established this school to teach the four schools of Islamic jurisprudence. The madrasa has a one of a kind square minaret decorated with geometric designs and squares that resemble a chessboard, it also has five heads.   ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Dome, Khanqa, and Seat of Sultan al-Ghuri
    ",https://egymonuments.gov.eg/media/7621/mausoleum-and-sabil-kuttab-portal.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934558380000000,"This large establishment is located on al-Ghuriyya street in al-Azhar, it was built in 909 AH/ 1503 AD. It has two facades the western one contains the entrance and overlooking al-Ghuriyya street. The mausoleum’s dome is distinguished by its decorative elements and magnificent mihrab. However, al-Ghuri was never buried here, as he died in the levant in 922 AH/ 1516 AD. Beside it is a Khanqa for Sufis. Its wooden ceiling contains gilded decorations. There is also a sabil kuttab and a royal seat on the northern wing of this complex.   ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 60 / Student: EGP 30
EGYPTIANS/ARABS:
Adults: EGP 10 / Student: EGP 5
 
",monuments
"
        Al-Ghuri’s wikala 
    ",https://egymonuments.gov.eg/media/7596/gore.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934557260000000,"lies on al-Tablita street in al-Azhar. It is known as wikalat al-nakhla and the misbagha (laundry). Sultan al- Ashraf Abu al-Nasr Qunsuah al-Ghuri established it in 909 AH/ 1503 AD. The vast majority of the wikala’s architectural features still survive today, thanks to the efforts of the Committee of Conservation of Arab Antiquities to restore the complex in 1357 AH/ 1947 AD. The wikala consists of an open rectangular courtyard surrounded on all four sides by chambers that go up to five levels. The main façade, which contains the main entrance is on the south. The ground floor contains thirty storage rooms allocated for merchants. The third level contains 29 living quarters for the public. The last two floors served as a motel for travelling merchants.  ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
FOREIGNERS:
Adults: EGP 40 / Student: EGP 20
EGYPTIANS/ARABS:
Adults: EGP 20 / Student: EGP 10
 ",monuments
"
        Mosque and Madrasa of al-Nasir Muhammad Ibn Qalawun
    ",https://egymonuments.gov.eg/media/7580/228356_213847631970617_100000361448026_733525_3837924_n.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936307100000000,"This madrasa is located on al-Mu’izz street, between the two palaces. It is placed between the Dome of Sultan Qalawun and the Madrasa of Sultan Barquq. Its construction began during the reign of Mamluk sultan Zayn al-Din Katbugha in 695 AH/ 1296 AD. It was completed, however, during the reign of Sultan Muhammad ibn Qalawun, sometime between 698-703 AH/1298-1303 AD. Only two of the madrasa’s iwans survive. The eastern iwan contains a rare plaster mihrab and the western iwan contains plaster window. The madrasa is characterised by a beautiful stone façade and a marble entrance that used to serve as the gate for a church in Acre, Palestine. Inside, the mausoleum lies to the right of the door. It is surrounded by gilded wooden grills. Here, Sultan al-Naser Muhammad’s mother, princess Aslabai, and his son Anok are buried. Near the dome is a door leading to the square minaret. It is distinguished by its enchanting Andalusian decorations and bearing various collection of decorations and inscriptions.","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        Mamluk Cemetery
    ",https://egymonuments.gov.eg/media/7541/y_0d62ffc3-f_image_in_body.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936325570000000,"This burial ground lies to the northeast of Cairo. It was incorrectly known as the “graveyard of the caliphs” before being recognised as the Mamluk cemetery. The Eastern Cemetery is one of the most important burial sites. Kings and princes in Egypt have been buried here since the end of the fourteenth century AD. Therein they constructed mosques and khanqas, annexing their own burials to these structures. Some of these burials, dating to the fifteenth century, display the magnificence of Mamluk architecture. This cemetery houses more than twenty burial domes, nine of which are attached to mosques. Five of these domes were the burial place for sultans. The most famous of these were: the mosque and khanqa of Sultan Farag ibn Barquq; the Khanqa of Sultan Inal; the dome of Jani Bek al-Ashrafi; the dome of Qurqumas; the mosque and Khanqa of Sultan Bersbay; and the madrasa of Qayitbay.    ","

 
 
 
 Cairo
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
"
        The complex of Sultan Qayitbay in the Mamluk Cemetery.
    ","https://egymonuments.gov.eg/media/7578/tomb-mosque_of_sultan_kait_bey_from_the_ne_cairo-_egypt_-6-2528_-1908-_-_front_-_timea.jpg?center=0.53424657534246578,0.49629629629629629&mode=crop&width=645&height=423&rnd=132936310610000000","Qayitbay’s complex is one of the most magnificent architectural complexes of Islamic Egypt, representing the strength and wealth of the Mamluk period. The complex displays all the unique architectural features common in the Circassian Mamluk period. It was established by the Mamluk sultan al-Ashraf Qayitbay in 877 AH/ 1472 AD and is located in the desert amidst the Mamluk cemetery. The complex consists of a school, a sabil, and a kuttab for teaching the Quran to impoverished Muslims. There is also a private burial ground for Sultan Qayitbay’s family. The school is consisting of courtyard surrounded by four iwans, it is one of the most important establishments, both for its architecture and role in society. The engineer responsible for this structure demonstrated consistency, symmetry, and beauty in his execution of the building, paying attention to the finest details. The most important feature of the school is the main entrance, which is made of coloured marble and bears several inscriptions. The door itself was gilded in copper designs. The muezzin’s (the person who is raises azan or call for pray) name is inscribed upon the beautiful minaret. There are elaborate wooden artefacts within the school. These include a pulpit and a chair for the Qur’an reciter. Both were inlaid with ivory. The sabil-kuttab lies to the left of the school’s entrance. The sabil is characterised by its coloured marble tiles.  ","

 
 
 
 Mamluk Cemetery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,monuments
