name,Image_URL,information,location,visiting_date,tickets,type
Rock Inscriptions of Sehel Island,"https://egymonuments.gov.eg/media/7854/img_20211213_143705.jpg?crop=0.19818298199546813,0,0.08260458334355876,0&cropmode=percentage&width=645&height=423&rnd=132942370220000000","Sehel Island is one of the largest islands on the Nile, located upstream from the First Cataract in Aswan region, and contained a gold-mine and a quarry for the mining of granite, the hardest stone used in ancient Egypt. The island became a popular resting-spot for the king’s army and trading expeditions making their way upstream into Nubia. As a result, the island contains hundreds of inscriptions and royal cartouches, immortalising countless officials and kings. Many of these inscriptions can be seen on the large granite boulders surrounding the island. There are also many within the boundaries of the temple of the goddess Anuket, who was part of the Elephantine triad, along with her parents Khnum and Satet.

Continual use of this island can be seen from its oldest inscriptions dating to the Middle Kingdom (c. 2034–1650 BC), through until the Graeco-Roman Period when the famous “Famine Stela” was carved in to the natural granite rock. One inscription from the time of Hatshepsut and Thutmose III (c. 1479–1425 BC) records that the Overseer of Construction Works managed the feat of extracting six obelisks from the granite quarries of Aswan.

The Famine Stela

The fascinating text of this stela carved on the face of a granite boulder on Sehel Island tells the story of a nation in crisis, its concerned king, and his efforts to find a solution. Although it was composed and carved in the Ptolemaic Period (332–30 BC), the events are set around 2500 years earlier.

The Famine Stela is inscribed in 32 vertical rows of hieroglyphic script, with a scene above it depicting King Djoser (c. 2686–2667 BC) presenting offerings to the divine triad of Elephantine consisting of the god Khnum, his wife Satet and their daughter Anuket. The country is gripped in seven years of drought and famine and King Djoser summons his famous courtier, the wise Imhotep to find a solution. Imhotep told the king that the inundation came from the sacred spring in Elephantine Island, whose god Khnum was the one who controlled the flow of water. Djoser dutifully made offerings to the gods of Elephantine and Khnum appeared to him in a dream one night, promising him to end the famine by returning the flood. To celebrate the return of prosperity, Djoser built a temple on Elephantine to thank Khnum.    ",Aswan,24 hours daily,free,temple
"
        Edfu Temple
    ","https://egymonuments.gov.eg/media/7826/dsc_243.jpg?center=0.53061224489795922,0.5113122171945701&mode=crop&width=645&height=423&rnd=132894946870000000","Edfu Temple is one of the most striking and complete of ancient Egyptian temples and is dedicated to the worship of the god Horus. Situated on the western bank of the Nile, its construction began during the reign of Ptolemy III in 237 BC, but was completed in the reign of Ptolemy XII in 57 BC, 180 years later. The temple remained buried under layers of settlement debris for millennia, which is why its architectural and decorative elements have survived so well. In 1860 the French archaeologist Auguste Mariette uncovered and restored parts of the temple. The temple is fronted by two massive pylons that bear scenes of Ptolemy XII conquering his enemies and worshipping deities. Two large granite statues of the falcon-god Horus stand before the pylons. Once through the pylons you enter into a large Peristyle court lined with columns decorated with floral capitals. Beyond this court are two Hypostyle Halls, the first illustrates the temple’s foundation with the king engaged in worship, the second holds scenes of Horus’ journey in a sacred bark accompanied by the goddess Hathor. From the second Hypostyle Hall is the Transverse Hall, then the Sanctuary of the temple.    ","

 
 
 
 Aswan
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
05:00 PM

 
 
","
 
 FOREIGNER:
Adult: EGP 180 / Student: EGP 90

EGYPTIANS\ ARABS:
Adult: EGP 30 /Student: EGP 10
 
",temple
"
        The Temple of Bastet
    ","https://egymonuments.gov.eg/media/6980/eeee00.jpg?center=0.696078431372549,0.48026315789473684&mode=crop&width=645&height=423&rnd=132936344120000000","The temple of Bastet is one of the main cult temples of the goddess ""Bastet"" in the Old Kingdom, which was associated with fertility and often acted as a protective deity. Originally, Bastet was depicted as a lioness, and later as a cat.
According to the Greek historian ""Herodotus"" who visited “Per Bastet” in the 5th century BC, that despite other temples being more grandiose in appearance, none was more beautiful than the temple of ""Bastet"". This temple would have been surrounded by two channels and lined with trees, thus allowing a wonderful view of the city.
During the 22nd Dynasty, when Per Bastet became the capital of Egypt, the temple of Bastet was extended, and as a result, a lot of material from earlier structures was re-used. The oldest of these are two red granite blocks dating to the reign of the 4th Dynasty king Khufu (c.2589–2566 BC) and king Khafre (c.2558–2532 BC).
Additions to this temple were continued by the second king of the 22nd Dynasty, Osorkon I (c.924–889 BC), with his name appearing frequently at the entrance of the temple. The site contained a monumental gate beyond the peristyle courtyard. This was built by Osorkon II, and decorated with scenes of him celebrating the Heb Sed Festival.
In the far west, there is a long colonnade that leads to a hypostyle hall, also built by Osorkon II, and which contains papyrus and Hathor columns. The far west end of the temple, which comprised the Holy of Holies in the complex (the sanctuary), was renewed by the last Egyptian king of the 30th and final Dynasty, King Nectanebo II (360–343 BC).     ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,temple
"
        The Roman well
    ","https://egymonuments.gov.eg/media/6978/8-%D8%A8%D8%AF%D8%A7%D9%8A%D8%A9_%D8%B8%D9%87%D9%88%D8%B1_%D8%A7%D9%84%D8%A8%D8%A6%D8%B1_%D8%A8_%D9%85%D9%86%D8%AA%D8%B5%D9%81%D9%87_0-1991.jpg?center=0.60747663551401865,0.38815789473684209&mode=crop&width=645&height=423&rnd=132936343330000000","In 1991, indications of this well’s existence first came to light during excavations carried out by the University of Zaqaziq at the temple of Bastet. The excavation director officially announced the discovery in 1997. The well is distinguished by its Roman architectural style, with the excavation team discovering various pottery vessels from the 1st to 4th centuries AD. Historical sources pertaining to the Holy Family’s Journey in Egypt narrate that they drank from this well when they came to Bubastis on the 24th of Pashons in the Coptic calendar, which corresponds to the 1st of June. The Coptic community in Egypt still continues to celebrate this day annually.  ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,temple
"
        Open Air Museum
    ","https://egymonuments.gov.eg/media/6976/dsc_5557eee.jpg?center=0.65686274509803921,0.51973684210526316&mode=crop&width=645&height=423&rnd=132936343040000000","The successive excavations at the city of Bubastis (Tell Basta) have revealed many artifacts of different sizes and ranging to different time periods. As well as many monuments at the site have led it to become an open air museum, which includes the black granite head of goddess Bastet in the form of a lioness.
In addition, one can find archaeological remains from the monumental gateway of the temple of Bastet, which was built by the 22nd Dynasty king Osorkon II (c.874–850 BC). This structure was entirely covered with depictions of Osorkon II celebrating the Heb Sed Festival. Generally, this purely royal festival aimed to rejuvenate the king and renew his royal power.
At the site there are also a large amount of stone fragments bearing the names and epithets of kings. A sandstone block depicts a standard with human arms surmounted by the Ka-hieroglyph (in the shape of two upraised arms), and a king’s Horus Name was written inside. Although it was fragmentary, it contained the Horus Name of King Nectanebo II / Nekhthorhebyt (360–343 BC), the last king of the 30th and final Dynasty.
The open air museum also includes a group of statues of kings and deities. The most prominent is the red granite statue of the 19th Dynasty King Ramesses II (c.1279–1213 BC) standing between the goddess Hathor and the god Ptah. This in turn is found near a group of Graeco-Roman Period column capitals following the Corinthian style.
​    ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free,temple
"
        Luxor Temple
    ","https://egymonuments.gov.eg/media/1222/msm_0258-copy.jpg?crop=0.11116408300524934,0,0.15064694061679793,0.26183283707248828&cropmode=percentage&width=645&height=423&rnd=132898393860000000","Luxor Temple, Ipet‑resyt “Southern Sanctuary” to the ancient Egyptians, was so called because of its location within ancient Thebes (modern Luxor). It is located around three kilometers to the south of Karnak Temple, to which it was once linked with a processional way bordered with sphinxes. The oldest evidence for this temple dates to the Eighteenth Dynasty (c.1550–1295 BC).           Ipet‑resyt, unlike most other ancient Egyptian temples, is not laid out on an east‑west axis, but is oriented towards Karnak. This is because Luxor Temple was the main venue for one the most important of ancient Egyptian religious celebrations, when the cult images of Amun, his wife Mut, and their son, the lunar god Khonsu, were taken from their temples in Karnak, and transported in a grand procession to Luxor Temple so they could visit the god that resides there, Amenemopet. This was the Opet Festival.           Luxor Temple was not constructed by one single ruler. The oldest existing structure, a shrine, dates to the reign of Hatshepsut (c.1473–1458 BC). The core of the temple was built by Amenhotep III (c.1390–1352 BC). One of the inner rooms contains a series of scenes that are known as the Divine Birth. They tell the amazing story of how the king’s true father was none other than the god Amun himself. The core of the temple is preceded by a columned hall fronted by a courtyard with columns around its perimeter. Amenhotep III also built the Great Colonnade, which consists of two rows of seven colossal columns. Its decoration, most notably the scenes depicting the Opet Festival, were completed by Tutankhamun (c.1336–1327 BC) and Horemheb (c.1323–1295 BC).           Ramesses II (c.1279–1213 BC) made many additions to Luxor Temple. In front of the Great Colonnade, he built a peristyle courtyard and a massive pylon, a gate with two towers that formed the entrance into temples. In addition to many colossal statues, the pylon was also fronted by a pair of 25‑meter‑high obelisks made by this great king, but only one remains in place; the other has been at the Place de la Concorde in Paris since 1835–1836.           In the late third century AD, the Romans built a fort around the temple, and the first room beyond the hypostyle hall of Amenhotep III became its sanctuary. The original wall reliefs were covered with plaster, and painted in the Graeco‑Roman artistic style, depicting Emperor Diocletian (284–305 AD) and his three coregents. Although these had largely disappeared, efforts are under way to restore these to their former glory.","

 
 
 
 Luxor 
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
08:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 160 / Student: EGP 80

EGYPTIANS/ARABS:
Adult: EGP 30 / Student: EGP 10
 
",temple
"
        Hatshepsut Temple
    ","https://egymonuments.gov.eg/media/1252/dsc_0423-2.jpg?center=0.54166666666666663,0.46721311475409838&mode=crop&width=645&height=423&rnd=132898394010000000","Hatshepsut (c.1473–1458 BC), the queen who became Pharaoh, built a magnificent temple at Deir al-Bahari, on the west back of Luxor. It lies directly across the Nile from Karnak Temple, the main sanctuary of the god Amun. Hatshepsut’s temple, Djeser-djeseru “the Holy of Holies” was designed by the chief steward of Amun, Senenmut.           The temple consists of three levels each of which has a colonnade at its far end. On the uppermost level, an open courtyard lies just beyond the portico. Mummiform statues of Hatshepsut as Osiris, the god of the dead, lean against its pillars.           This is because Djeser-djeseru is Hatshepsut’s mortuary temple, where her cult was practiced after her death, when she attained the blessed state of Osiris. Far from being devoted solely to her, the temple also includes sections for the cults of her revered father Thutmose I, the goddess Hathor, and the funerary god Anubis. An altar, open to the sky and the sun, was dedicated to the cult of the solar Ra‑Horakhty. Pride of place was given to Amun. At the far end of the upper courtyard, on the temple’s central axis, a passage cut directly into the living rock culminates in his sanctuary.           The temple’s walls are covered with beautiful painted reliefs depicting temple rituals, religious festivals, and even the transportation of obelisks from the quarry to their destination in Karnak Temple. Perhaps most interesting are the reliefs in the portico on the so-called Middle Platform. The decorative programme on the left side depicts Hatshepsut’s expedition to Punt, believed to be located near modern Eritrea. The inhabitants of this land, their dwellings, and surrounding environment are vividly recorded, as are the riches and exotic animals that the Egyptians brought back with them. On the other side of the portico, Hatshepsut relates how she is the rightful king of Egypt. She does this not only by claiming that her father Thutmose I had designated her as his heir, but by stating that her true father was none other than the god Amun himself. ","

 
 
 
 Deir al-Bahari
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
05:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 140 / Student: EGP 70

EGYPTIANS/ARABS:
Adults: EGP 30 / Student: EGP 10
 
",temple
"
        Temple of Dendera
    ",https://egymonuments.gov.eg/media/3108/untitled1.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936357480000000,"Hathor was among the most important and popular deities in ancient Egypt. She was associated with music, joy, dance and motherhood, she was also known as the lady of the sky. Her main cult center was at Dendera where one of the best-preserved temples in Egypt stands today. The entrance of the temple, with six massive columns surmounted with the head of Hathor,is considered among the most beautiful monuments in Egypt. Sistrums (a musical instrument) closely associated with the goddess, frame her head. The temple of Dendera dates back to the Ptolemaic Period, although evidence points to older structures once existing on the sitedating as far back as  king Pepy II, from the Old Kingdom. Among the temple’s most notable features are astronomical engravings on its ceiling. One of the primary celebrations that took place at Dendera was for the Egyptian New Year. The night before the new year, a statue of Hathor was brought out on a shrine and placed on the roof of the temple to receive the sun’s first rays, which symbolically renewed and the rejuvenated the goddess.  ",About 5 km northwest of Qena and 60 km north of Luxor,"
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 100/ Student: EGP 50

EGYPTIANS/ ARABS:
Adult: EGP 20/ Student: EGP 10
 
",temple
"
        Pyramid Complex of Khafre (Khefren)
    ","https://egymonuments.gov.eg/media/2502/55.jpg?center=0.18518518518518517,0.49180327868852458&mode=crop&width=645&height=423&rnd=132936326910000000","Khafre (c.2558–2532 BC), whom the ancient Greeks knew as Khefren, was a son of King Khufu (Cheops), the builder of the Great Pyramid. He built the second pyramid complex at Giza, and constructed his tomb on slightly higher ground, making it appear just as tall as his father’s. At 143.5 meters in height, however, his pyramid is only slightly shorter, and a tremendously impressive monument. Its core masonry is made of blocks of local limestone. The top of the pyramid still preserves the beautifully polished blocks of high-quality limestone that once encased the majority of the structure’s towering height. This white stone was quarried in Tura, south of Maadi, and transported here by ship.             The mortuary temple of Khafre at the foot of his pyramid and the valley temple at the end of the causeway are larger than any of those of older pyramids, and also among the best preserved of the Old Kingdom. Another development in the reign of Khafre is the complexity of their layout, with the elements constituting his mortuary temple becoming the new standard that its later Old Kingdom counterparts would follow. A unique feature of Khafre’s complex is the inclusion of a colossal statue beside his valley temple—the Great Sphinx. The valley temple is made of massive limestone blocks encased in granite, floors made of alabaster, and its wide hall features monolithic granite pillars. The symmetrically arranged niches along the walls of the hall once accommodated statues of the king, some of which are currently on display in the Egyptian Museum. One of these, the famous granodiorite statue of Khafre with Horus as a falcon perched behind his head, is widely considered one of the masterpieces of ancient Egyptian art.   ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 100 / Students : EGP 50
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ARABS:
Adult: EGP 30 / Students : EGP 10
AREA ENTRY TICKET REQUIRED
 
",temple
"
        The Great Sphinx
    ","https://egymonuments.gov.eg/media/2481/international-campaign16.jpg?center=0.50684931506849318,0.5&mode=crop&width=645&height=423&rnd=132936326470000000","Colossal statues are one of the hallmarks of ancient Egyptian civilization, and the Great Sphinx of Giza is the most famous. It was carved directly out of the bedrock during the Fourth Dynasty (c.2613–2494 BC), which also makes it the oldest. Ancient Egyptian sphinxes represented the king with the body of a lion, in a clear demonstration of his power.             The evidence points to the Great Sphinx having been carved during the reign of Khafre (Khefren to the ancient Greeks; c.2558–2532 BC), the builder of the second of the Giza pyramids. The Great Sphinx and the temple in front of it, called the Sphinx Temple, lie directly next to Khafre’s valley temple and the lower portion of the causeway leading up to his mortuary temple and pyramid. Careful archaeological analysis has revealed that the valley temple was finished before work was begun on the Great Sphinx and its temple. Analysis of the Great Sphinx’s facial features has also revealed striking similarities with those of Khafre’s statues.             The Great Sphinx has captured the imagination of travelers and explorers for millennia, even in ancient Egyptian times. During the Eighteenth Dynasty (c.1550–1295 BC), it came to be seen as a manifestation of the sun god, and was called Horemakhet “Horus in the Horizon”. King Amenhotep II (c.1427–1400 BC) built a temple next to the Sphinx, which he dedicated to this god. His son, Thutmose IV (c.1400–1390 BC), erected a monumental stela between its front paws, called the Dream Stela, on which he recorded a fascinating event.  ","

 
 
 
 Giza Plateau 
 
 
","
 
 From
 
08:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS: EGP 100
AREA ENTRY TICKET REQUIRED

EGYPTIANS/ARABS: EGP 100
AREA ENTRY TICKET REQUIRED
 
",temple
