name,image,information,location,type
"
 Oil bottle
",https://egymonuments.gov.eg/media/7812/%D9%82%D8%A7%D8%B1%D9%88%D8%B1%D8%A9-%D9%86%D9%81%D8%B7.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132892207340000000,a pear-shaped bottle decorated with fish scales inscriptions . Its short neck ends with a narrow spout from which the oil can be poured. Its shape is similar to a grenade. Date: Fatimid period. Material: pottery.,"
 National Police Museum
",Artifact
"
 Helmet
",https://egymonuments.gov.eg/media/7811/%D8%AE%D9%88%D8%B0%D8%A9-%D9%85%D9%85%D9%84%D9%88%D9%83%D9%8A.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132892197410000000,"A helmet to protect the head and nose, it has a decorative element which looks like a short spear. It is engraved with floral decorations and writing. Date: Mamluk period. Material: Steel.","
 National Police Museum
",Artifact
"
 Painting
","https://egymonuments.gov.eg/media/7801/83385418_2723671997860272_4767300766689918976_n.jpg?center=0.45454545454545453,0.43529411764705883&mode=crop&width=645&height=423&rnd=132892192560000000",Painting: a painting of four individuals in official uniform. They are sword bearer and the others are part of the Royal Guard.  Date: Ottoman Period. Material: Paper-oil paint.,"
 National Police Museum
",Artifact
"
 First manual fire- engine
",https://egymonuments.gov.eg/media/7800/%D8%A3%D9%88%D9%84-%D8%B9%D8%B1%D8%A8%D8%A9-%D8%A7%D8%B7%D9%81%D8%A7%D8%A1.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132892200460000000,"a primitive, English-made fire engine. It consists of a simple rectangular box that rests on four wheels. It was pulled by horses to the site of the fire.  Date: Ottoman period, 1766. Material: wood.","
 National Police Museum
",Artifact
"
 Deception weapons
","https://egymonuments.gov.eg/media/7798/%D8%B9%D9%83%D8%A7%D8%B2.jpg?center=0.63414634146341464,0.17818181818181819&mode=crop&width=645&height=423&rnd=132892210350000000",a rifle disguised as a walking cane with a curved handle shaped like the head of a snake. Date: Ottoman Period. Material: wood-ivory.,"
 National Police Museum
",Artifact
"
 Defensive weapons
","https://egymonuments.gov.eg/media/7761/%D8%AF%D8%B1%D8%B9-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%B5%D8%B1-%D8%A7%D9%84%D8%B9%D8%AB%D9%85%D8%A7%D9%86%D9%89.jpg?center=0.48658318425760289,0.36986301369863012&mode=crop&width=645&height=423&rnd=132892184190000000",an oval shield with handle in middle. Date: Ottoman period. Material: Wood - leather and -turtle shell.,"
 National Police Museum
",Artifact
"
 Dagger
","https://egymonuments.gov.eg/media/7760/picture2.jpg?center=0.45614035087719296,0.43396226415094341&mode=crop&width=645&height=423&rnd=132892181240000000",the dagger is one of the oldest weapons used by the ancient Egyptians for self-defence. History: Ancient Egyptian. Material: Wood-Copper.,"
 National Police Museum
",Artifact
"
 Model of a boat
","https://egymonuments.gov.eg/media/7759/%D9%85%D8%B1%D9%83%D8%A8-%D9%81%D8%B1%D8%B9%D9%88%D9%86%D9%89.jpg?center=0.50847457627118642,0.50370370370370365&mode=crop&width=645&height=423&rnd=132892180160000000",the boat shows ten sailors. Date: Ancient Egyptian. Material: wood.,"
 National Police Museum
",Artifact
"
 Ramadan cannon
","https://egymonuments.gov.eg/media/7758/%D9%85%D8%AF%D9%81%D8%B9-%D8%B1%D9%85%D8%B6%D8%A7%D9%86.jpg?center=0.52664576802507834,0.58730158730158732&mode=crop&width=645&height=423&rnd=132892178060000000","A Krupp cannon, known as the “Ramadan canon,” consisting of a large iron body resting on an iron base with two wooden wheels and iron frames. Date: Muhammad Ali Dynasty, 1871. Material: Iron-wood.","
 National Police Museum
",Artifact
"
 pot bottom
",https://egymonuments.gov.eg/media/7729/%D8%A7%D9%84%D8%AC%D9%88%D9%83%D9%86%D8%AF%D8%A7%D8%B1.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132856223220000000,"bottom of an enameled pottery vessel is decorated with the inside of the polo Sticks blazon, which symbolizes the sport of polo which the Mamluks were interested in .","
 Museum of Islamic Art
",Artifact
