name,Image_URL,information,location,visiting_date,tickets
Rock Inscriptions of Sehel Island,"https://egymonuments.gov.eg/media/7854/img_20211213_143705.jpg?crop=0.19818298199546813,0,0.08260458334355876,0&cropmode=percentage&width=645&height=423&rnd=132942370220000000","Sehel Island is one of the largest islands on the Nile, located upstream from the First Cataract in Aswan region, and contained a gold-mine and a quarry for the mining of granite, the hardest stone used in ancient Egypt. The island became a popular resting-spot for the king’s army and trading expeditions making their way upstream into Nubia. As a result, the island contains hundreds of inscriptions and royal cartouches, immortalising countless officials and kings. Many of these inscriptions can be seen on the large granite boulders surrounding the island. There are also many within the boundaries of the temple of the goddess Anuket, who was part of the Elephantine triad, along with her parents Khnum and Satet.

Continual use of this island can be seen from its oldest inscriptions dating to the Middle Kingdom (c. 2034–1650 BC), through until the Graeco-Roman Period when the famous “Famine Stela” was carved in to the natural granite rock. One inscription from the time of Hatshepsut and Thutmose III (c. 1479–1425 BC) records that the Overseer of Construction Works managed the feat of extracting six obelisks from the granite quarries of Aswan.

The Famine Stela

The fascinating text of this stela carved on the face of a granite boulder on Sehel Island tells the story of a nation in crisis, its concerned king, and his efforts to find a solution. Although it was composed and carved in the Ptolemaic Period (332–30 BC), the events are set around 2500 years earlier.

The Famine Stela is inscribed in 32 vertical rows of hieroglyphic script, with a scene above it depicting King Djoser (c. 2686–2667 BC) presenting offerings to the divine triad of Elephantine consisting of the god Khnum, his wife Satet and their daughter Anuket. The country is gripped in seven years of drought and famine and King Djoser summons his famous courtier, the wise Imhotep to find a solution. Imhotep told the king that the inundation came from the sacred spring in Elephantine Island, whose god Khnum was the one who controlled the flow of water. Djoser dutifully made offerings to the gods of Elephantine and Khnum appeared to him in a dream one night, promising him to end the famine by returning the flood. To celebrate the return of prosperity, Djoser built a temple on Elephantine to thank Khnum.    ",Aswan,24 hours daily,free
"
        Edfu Temple
    ","https://egymonuments.gov.eg/media/7826/dsc_243.jpg?center=0.53061224489795922,0.5113122171945701&mode=crop&width=645&height=423&rnd=132894946870000000","Edfu Temple is one of the most striking and complete of ancient Egyptian temples and is dedicated to the worship of the god Horus. Situated on the western bank of the Nile, its construction began during the reign of Ptolemy III in 237 BC, but was completed in the reign of Ptolemy XII in 57 BC, 180 years later. The temple remained buried under layers of settlement debris for millennia, which is why its architectural and decorative elements have survived so well. In 1860 the French archaeologist Auguste Mariette uncovered and restored parts of the temple. The temple is fronted by two massive pylons that bear scenes of Ptolemy XII conquering his enemies and worshipping deities. Two large granite statues of the falcon-god Horus stand before the pylons. Once through the pylons you enter into a large Peristyle court lined with columns decorated with floral capitals. Beyond this court are two Hypostyle Halls, the first illustrates the temple’s foundation with the king engaged in worship, the second holds scenes of Horus’ journey in a sacred bark accompanied by the goddess Hathor. From the second Hypostyle Hall is the Transverse Hall, then the Sanctuary of the temple.    ","

 
 
 
 Aswan
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
05:00 PM

 
 
","
 
 FOREIGNER:
Adult: EGP 180 / Student: EGP 90

EGYPTIANS\ ARABS:
Adult: EGP 30 /Student: EGP 10
 
"
"
        Muhammad Ali Pasha Palace
    ",https://egymonuments.gov.eg/media/7784/ea_ca_1780.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132870671740000000,"The Palace of Muhammad Ali Pasha (1220-1264 AH \ AD 1805-1848), is a rare masterpiece that combines elements of European aesthetics with Islamic architecture. Its construction began in 1223 AH / AD 1808, when Muhammad Ali decided to build Shubra Suburb, which was the northern promenade of Cairo. The palace was far from the Salah al-Din al-Ayyubi Citadel, which at the time was the seat of government. the Muhammad Ali Palace has become known as Paradise Palace or Shubra Palace. The architectural plan of the palace was centred within a massive garden that included clusters of buildings surrounded by a wall. Initially, the palace consisted of the Saraya al-Ekama (Residential Palace), Saraya al-Fasqiya (Fountain Palace) and the Gabalaya Kiosk. It also included a bird tower, boat harbour, water wheel that provided the palace and its garden with water, and stables known as the Shubra Stables. The style employed in the palaces took on the character of Italian and French aesthetics.This was also the first building in Egypt to incorporate a modern lighting system. ","

 
 
 
 Cairo
 
 
",24 hours daily,"
 
 FOREIGNER: 
Adult: EGP 100 / Student: EGP 50

EGYPTIANS\ ARABS: 
Adult: EGP 30 /Student: EGP 10
 
"
"
        Suez Canal Authority Building ""Dome Building""
    ",https://egymonuments.gov.eg/media/7719/whatsapp-image-2021-12-21-at-15602-pm-1.jpeg?anchor=center&mode=crop&width=645&height=423&rnd=132869877640000000,"One of the most prominent monuments and tourist sights which receive visitors and fans in Port Said, it can be described as the main historical building for the offices and management of the Suez Canal Company in Port Said, where it was and still used to follow the movement of ships passing through the canal, the building also is characterized by the splendor architecture and its unique location on the shore of the canal.  The foundation stone of the building was laid in 1895 and opened in 1906 in the era of Khedive Abbas Helmi II and was purchased    by England in World War I to be the headquarters of the British Army command in the Middle East.   Also there was a VIP lounge attached to the building where the King George V reside in 1911 AD. And it is stood by ""Estokwell"" the commander of the British Forces during the Suez Crisis (Tripartite Aggression) in 1956 as a residence. And also, as a lounge for the British soldiers during the Second World War.  The building is designed from inside to contain as many offices as possible , the building contains about 300 rooms distributed on  the stories of the building , the ground floor contains about 60 doors lead to bunch of internal rooms.  The dome building occupied a rectangular area that can be divided into two parts. The first is the main facade of the building and is retracted inward at the two wings bearing the central dome, while the two wings carry a smaller dome.","

 
 
 
 Port Said city
 
 
",24 hours daily,free
"
        Madrasa, Mausaleum, and Bimaristan of al-Mansur Qalawun
    ",https://egymonuments.gov.eg/media/7626/226946_213846661970714_100000361448026_733501_4625677_n.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936311490000000,"This complex is located on al-Mu’izz street. It was established by Sultan Sayf al-Din Qalawun in 683-684 AH/ 1283-1284 AD. It is one of the most beautiful architectural complexes in Egypt dating to the Mamluk period. It consists of a mosque, a school, a burial, and a hospital (bimaristan is a Persian word that means “house of the ill”). Its various entrances are all characterized by unique designs, using gold and silver gilding as well as a number of geometric and floral motifs. The hospital treated people who suffered from nervous and psychological disorders. It now serves as an eye and dentistry hospital.    ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Mosque, Khanqa, and Madrasa of Sultan Farag ibn Barquq in the Mamluk Cemetery
    ",https://egymonuments.gov.eg/media/7623/tomb-_with_mosque-_of_farag_ibn_barquq_-1878-_-_timea.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936323670000000,"It is in the east of the Mamluk cemetery in Cairo, established by Sultan al-Nasar Farag ibn Barquq sometime between 801-813 AH/ 1398-1411 AD. This complex is one of the largest architectural units in Egypt. It consists of a mosque, a khanqa for Sufis, and a school. It is also the burial place of Sultan Barquq and his family. There are two sabils on the main façade. The most important features of this complex are the two minarets and domes. In 1940, the Committee for the Preservation of Arab Antiquities exerted great efforts in restoring this complex.    ","

 
 
 
 Mamluk Cemetery
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Madrasa of Sultan al-Ghuri
    ",https://egymonuments.gov.eg/media/7622/interior-view-of-mosque-madrasa-showing-qibla-wall-of-prayer-hall-east-iwan-with-mihrab-and-minbar.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936320930000000,"Al-Ghuri’s madrasa is located on al-Mu’izz street, at the juncture between al-Ghuriyya and al-Azhar. It was established by sultan Qunsuah al-Ghuri in 909 AH/ 1503 AD. It is a unique example of Circassian Mamluk architecture during its final days in Egypt. It was used for both prayer as a mosque and a school. The madrasa is consisting of courtyard and four iwans, Sultan al-Ghuri established this school to teach the four schools of Islamic jurisprudence. The madrasa has a one of a kind square minaret decorated with geometric designs and squares that resemble a chessboard, it also has five heads.   ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Dome, Khanqa, and Seat of Sultan al-Ghuri
    ",https://egymonuments.gov.eg/media/7621/mausoleum-and-sabil-kuttab-portal.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934558380000000,"This large establishment is located on al-Ghuriyya street in al-Azhar, it was built in 909 AH/ 1503 AD. It has two facades the western one contains the entrance and overlooking al-Ghuriyya street. The mausoleum’s dome is distinguished by its decorative elements and magnificent mihrab. However, al-Ghuri was never buried here, as he died in the levant in 922 AH/ 1516 AD. Beside it is a Khanqa for Sufis. Its wooden ceiling contains gilded decorations. There is also a sabil kuttab and a royal seat on the northern wing of this complex.   ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 60 / Student: EGP 30
EGYPTIANS/ARABS:
Adults: EGP 10 / Student: EGP 5
 
"
"
        Al-Ghuri’s wikala 
    ",https://egymonuments.gov.eg/media/7596/gore.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934557260000000,"lies on al-Tablita street in al-Azhar. It is known as wikalat al-nakhla and the misbagha (laundry). Sultan al- Ashraf Abu al-Nasr Qunsuah al-Ghuri established it in 909 AH/ 1503 AD. The vast majority of the wikala’s architectural features still survive today, thanks to the efforts of the Committee of Conservation of Arab Antiquities to restore the complex in 1357 AH/ 1947 AD. The wikala consists of an open rectangular courtyard surrounded on all four sides by chambers that go up to five levels. The main façade, which contains the main entrance is on the south. The ground floor contains thirty storage rooms allocated for merchants. The third level contains 29 living quarters for the public. The last two floors served as a motel for travelling merchants.  ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
FOREIGNERS:
Adults: EGP 40 / Student: EGP 20
EGYPTIANS/ARABS:
Adults: EGP 20 / Student: EGP 10
 "
"
        Mosque and Madrasa of al-Nasir Muhammad Ibn Qalawun
    ",https://egymonuments.gov.eg/media/7580/228356_213847631970617_100000361448026_733525_3837924_n.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936307100000000,"This madrasa is located on al-Mu’izz street, between the two palaces. It is placed between the Dome of Sultan Qalawun and the Madrasa of Sultan Barquq. Its construction began during the reign of Mamluk sultan Zayn al-Din Katbugha in 695 AH/ 1296 AD. It was completed, however, during the reign of Sultan Muhammad ibn Qalawun, sometime between 698-703 AH/1298-1303 AD. Only two of the madrasa’s iwans survive. The eastern iwan contains a rare plaster mihrab and the western iwan contains plaster window. The madrasa is characterised by a beautiful stone façade and a marble entrance that used to serve as the gate for a church in Acre, Palestine. Inside, the mausoleum lies to the right of the door. It is surrounded by gilded wooden grills. Here, Sultan al-Naser Muhammad’s mother, princess Aslabai, and his son Anok are buried. Near the dome is a door leading to the square minaret. It is distinguished by its enchanting Andalusian decorations and bearing various collection of decorations and inscriptions.","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
